neighbourhood,price,room_type,iqr_lower_bound,iqr_median_price,iqr_upper_bound
Khlong San,700,Private room,350.0,1156.5,3300.0
Khlong Toei,2078,Entire home/apt,332.0,1600.0,3447.5
Bang Rak,2500,Private room,360.0,1500.0,4286.0
Khlong Toei,1490,Entire home/apt,332.0,1600.0,3447.5
Bang Rak,2701,Entire home/apt,598.0,1874.0,6097.5
Parthum Wan,2900,Entire home/apt,510.0,2000.0,5325.75
Bang Kho laen,890,Entire home/apt,499.0,1039.0,3215.0
Khlong San,350,Shared room,330.0,440.0,1701.25
Bang Kho laen,980,Entire home/apt,499.0,1039.0,3215.0
Vadhana,3740,Entire home/apt,350.0,1800.0,4300.0
Chatu Chak,1004,Entire home/apt,350.0,1039.0,2856.25
Vadhana,2000,Entire home/apt,350.0,1800.0,4300.0
Sathon,1629,Private room,353.0,1199.0,2602.5
Parthum Wan,3097,Entire home/apt,510.0,2000.0,5325.75
Phaya Thai,399,Private room,399.0,1285.5,3459.125
Khlong Toei,1489,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,3300,Entire home/apt,332.0,1600.0,3447.5
Khlong San,1635,Entire home/apt,450.0,1305.0,2978.875
Khlong Toei,1143,Entire home/apt,332.0,1600.0,3447.5
Ratchathewi,1009,Entire home/apt,500.0,1608.0,4112.5
Chatu Chak,866,Entire home/apt,350.0,1039.0,2856.25
Parthum Wan,2250,Entire home/apt,510.0,2000.0,5325.75
Khlong San,3067,Entire home/apt,450.0,1305.0,2978.875
Khlong San,1286,Entire home/apt,450.0,1305.0,2978.875
Huai Khwang,540,Entire home/apt,443.0,1300.0,3000.0
Phra Khanong,1264,Entire home/apt,337.0,999.0,2585.0
Parthum Wan,3500,Entire home/apt,510.0,2000.0,5325.75
Suanluang,1351,Entire home/apt,350.0,1000.0,2558.25
Ratchathewi,1336,Entire home/apt,500.0,1608.0,4112.5
Bang Kho laen,950,Entire home/apt,499.0,1039.0,3215.0
Phra Khanong,1290,Entire home/apt,337.0,999.0,2585.0
Suanluang,1004,Entire home/apt,350.0,1000.0,2558.25
Din Daeng,2000,Private room,363.0,950.0,2700.0
Khlong San,2226,Entire home/apt,450.0,1305.0,2978.875
Khan Na Yao,1300,Entire home/apt,356.0,850.0,2939.25
Yan na wa,1800,Entire home/apt,400.0,1500.0,3942.625
Parthum Wan,1004,Entire home/apt,510.0,2000.0,5325.75
Phaya Thai,1457,Entire home/apt,374.0,1471.5,3298.625
Vadhana,1212,Entire home/apt,350.0,1800.0,4300.0
Bang Rak,1100,Entire home/apt,598.0,1874.0,6097.5
Vadhana,1380,Entire home/apt,350.0,1800.0,4300.0
Vadhana,1150,Entire home/apt,350.0,1800.0,4300.0
Khlong San,1500,Entire home/apt,450.0,1305.0,2978.875
Phasi Charoen,400,Entire home/apt,346.0,1000.0,2279.0
Vadhana,700,Private room,350.0,1500.0,4015.0
Khlong San,3587,Entire home/apt,450.0,1305.0,2978.875
Bang Na,400,Entire home/apt,350.0,950.0,2189.75
Phaya Thai,1732,Entire home/apt,374.0,1471.5,3298.625
Rat Burana,900,Entire home/apt,525.0,1019.5,2773.125
Sathon,899,Entire home/apt,350.0,1350.0,3257.5
Bang Rak,3775,Entire home/apt,598.0,1874.0,6097.5
Bang Na,520,Entire home/apt,350.0,950.0,2189.75
Sathon,999,Entire home/apt,350.0,1350.0,3257.5
Vadhana,1000,Private room,350.0,1500.0,4015.0
Chatu Chak,1000,Entire home/apt,350.0,1039.0,2856.25
Vadhana,1725,Entire home/apt,350.0,1800.0,4300.0
Bang Na,520,Entire home/apt,350.0,950.0,2189.75
Khlong San,3809,Entire home/apt,450.0,1305.0,2978.875
Phra Nakhon,700,Private room,392.0,1250.0,3198.0
Parthum Wan,2995,Entire home/apt,510.0,2000.0,5325.75
Khlong San,830,Private room,350.0,1156.5,3300.0
Bang Na,400,Entire home/apt,350.0,950.0,2189.75
Khlong Toei,510,Shared room,350.0,560.0,1762.5
Khlong San,643,Private room,350.0,1156.5,3300.0
Bangkok Noi,3463,Entire home/apt,350.0,825.0,2361.25
Khlong Toei,2329,Hotel room,350.0,1771.0,3977.5
Khlong Toei,2000,Hotel room,350.0,1771.0,3977.5
Khlong Toei,2286,Hotel room,350.0,1771.0,3977.5
Dusit,1100,Private room,346.0,1300.0,2518.75
Khlong Toei,560,Shared room,350.0,560.0,1762.5
Vadhana,6926,Entire home/apt,350.0,1800.0,4300.0
Bueng Kum,1250,Private room,500.0,900.0,2168.75
Bang Na,460,Entire home/apt,350.0,950.0,2189.75
Sathon,2074,Entire home/apt,350.0,1350.0,3257.5
Vadhana,1400,Entire home/apt,350.0,1800.0,4300.0
Bang Rak,2500,Entire home/apt,598.0,1874.0,6097.5
Khlong Toei,1400,Entire home/apt,332.0,1600.0,3447.5
Vadhana,2500,Entire home/apt,350.0,1800.0,4300.0
Chatu Chak,2600,Entire home/apt,350.0,1039.0,2856.25
Yan na wa,2424,Entire home/apt,400.0,1500.0,3942.625
Bang Na,520,Entire home/apt,350.0,950.0,2189.75
Bang Na,480,Entire home/apt,350.0,950.0,2189.75
Khlong Toei,1700,Entire home/apt,332.0,1600.0,3447.5
Khlong San,1100,Entire home/apt,450.0,1305.0,2978.875
Huai Khwang,3740,Entire home/apt,443.0,1300.0,3000.0
Bang Na,1300,Entire home/apt,350.0,950.0,2189.75
Phra Khanong,999,Entire home/apt,337.0,999.0,2585.0
Bang Na,1558,Entire home/apt,350.0,950.0,2189.75
Khlong San,450,Entire home/apt,450.0,1305.0,2978.875
Vadhana,1662,Entire home/apt,350.0,1800.0,4300.0
Vadhana,3000,Entire home/apt,350.0,1800.0,4300.0
Vadhana,1200,Private room,350.0,1500.0,4015.0
Huai Khwang,972,Entire home/apt,443.0,1300.0,3000.0
Khlong Toei,1200,Private room,360.0,1275.0,3650.0
Suanluang,1400,Private room,354.0,950.0,2169.0
Phaya Thai,1387,Entire home/apt,374.0,1471.5,3298.625
Pra Wet,1500,Private room,334.0,899.5,2756.25
Bang Phlat,3000,Entire home/apt,400.0,884.0,2913.25
Yan na wa,2200,Entire home/apt,400.0,1500.0,3942.625
Vadhana,1200,Entire home/apt,350.0,1800.0,4300.0
Khlong Toei,2329,Hotel room,350.0,1771.0,3977.5
Bang Rak,2800,Entire home/apt,598.0,1874.0,6097.5
Bang Na,480,Entire home/apt,350.0,950.0,2189.75
Vadhana,2300,Entire home/apt,350.0,1800.0,4300.0
Huai Khwang,6906,Entire home/apt,443.0,1300.0,3000.0
Vadhana,800,Private room,350.0,1500.0,4015.0
Bang Na,480,Entire home/apt,350.0,950.0,2189.75
Bang Rak,1957,Private room,360.0,1500.0,4286.0
Huai Khwang,6807,Entire home/apt,443.0,1300.0,3000.0
Bang Sue,1455,Private room,346.0,1000.0,2311.25
Vadhana,2900,Entire home/apt,350.0,1800.0,4300.0
Huai Khwang,1080,Entire home/apt,443.0,1300.0,3000.0
Thon buri,850,Entire home/apt,348.0,1112.0,2203.0
Khlong San,600,Private room,350.0,1156.5,3300.0
Vadhana,2127,Entire home/apt,350.0,1800.0,4300.0
Ratchathewi,675,Entire home/apt,500.0,1608.0,4112.5
Din Daeng,700,Private room,363.0,950.0,2700.0
Yan na wa,700,Private room,418.0,1090.0,2357.0
Sathon,1200,Entire home/apt,350.0,1350.0,3257.5
Ratchathewi,1643,Entire home/apt,500.0,1608.0,4112.5
Khlong Toei,1483,Entire home/apt,332.0,1600.0,3447.5
Khlong Toei,1163,Entire home/apt,332.0,1600.0,3447.5
Bangkok Yai,3600,Private room,350.0,999.0,3750.75
Thon buri,750,Entire home/apt,348.0,1112.0,2203.0
Khlong Toei,1457,Entire home/apt,332.0,1600.0,3447.5
Phra Nakhon,2500,Private room,392.0,1250.0,3198.0
Suanluang,1558,Entire home/apt,350.0,1000.0,2558.25
Khlong Toei,1200,Entire home/apt,332.0,1600.0,3447.5
Rat Burana,2500,Entire home/apt,525.0,1019.5,2773.125
Khlong Sam Wa,1500,Entire home/apt,734.0,1450.0,4607.5
Bang Sue,1405,Private room,346.0,1000.0,2311.25
Parthum Wan,1212,Entire home/apt,510.0,2000.0,5325.75
Vadhana,4120,Entire home/apt,350.0,1800.0,4300.0
